entidad,municipio,tot_viviendas,num_encuestas,encuestas_100
14,039,398966.0,129,0.03233358231027205
30,044,61877.0,20,0.03232218756565444
09,011,106964.0,34,0.03178639542275906
09,013,117159.0,37,0.031581013835898224
14,097,212349.0,67,0.03155183212541618
22,011,67968.0,21,0.03089689265536723
14,098,185368.0,57,0.030749643951491087
09,005,340301.0,103,0.030267322164789407
30,133,16521.0,5,0.030264511833424126
11,027,74956.0,22,0.029350552324030096
09,017,135789.0,39,0.02872103042219915
15,108,42777.0,12,0.02805245809664072
19,018,114898.0,32,0.027850789395811936
09,014,176175.0,49,0.027813253866893713
16,052,55722.0,15,0.026919349628512976
30,193,202128.0,52,0.025726272461014804
11,025,19871.0,5,0.025162296814453224
19,039,329095.0,82,0.024916817332381228
21,140,36581.0,9,0.024602935950356744
21,119,44827.0,11,0.02453878243023178
09,003,191646.0,47,0.024524383498742475
30,039,98267.0,24,0.024423255009311366
30,118,37722.0,9,0.023858756163512008
30,087,151275.0,36,0.023797719385225583
15,020,89726.0,21,0.023404587299110626
15,106,239805.0,56,0.02335230708283814
11,015,51660.0,12,0.023228803716608595
15,057,240246.0,54,0.02247696111485727
09,007,504456.0,111,0.02200390123221847
21,041,41184.0,9,0.021853146853146852
11,031,32207.0,7,0.021734405564007825
30,131,56969.0,12,0.02106408748617669
15,037,82051.0,17,0.020718821220947946
17,028,19669.0,4,0.020336570237429456
09,010,219445.0,41,0.018683497003805054
19,019,37754.0,7,0.01854108173968321
09,012,202418.0,37,0.018279006807694967
15,058,298002.0,54,0.01812068375380031
15,104,199839.0,35,0.017514098849573907
15,024,52220.0,9,0.017234775947912676
30,189,46491.0,8,0.017207631584607773
19,031,134438.0,23,0.017108258081792352
15,039,146994.0,25,0.017007496904635565
15,033,448688.0,76,0.016938273365902364
17,029,30552.0,5,0.016365540717465304
30,138,12341.0,2,0.01620614212786646
21,015,31598.0,5,0.015823786315589596
14,120,425399.0,67,0.015749919487351875
09,015,196593.0,29,0.014751288194391459
30,028,47818.0,7,0.014638838930946505
15,070,74539.0,10,0.013415795757925382
15,060,114782.0,14,0.012197034378212611
15,013,150388.0,18,0.011969040082985345
15,051,42550.0,5,0.011750881316098707
15,121,160854.0,18,0.011190271923607744
15,031,180308.0,18,0.00998291811788717
15,109,145961.0,14,0.009591603236480978
15,122,104445.0,9,0.008616975441619991
09,006,117740.0,10,0.008493290300662476
15,025,104220.0,8,0.007676069852235655
15,054,68154.0,4,0.005869061243654078
15,081,164401.0,9,0.005474419255357328
09,004,60442.0,3,0.004963436021309686
09,016,146828.0,6,0.004086414035470074
